sex;age;race;marital-status;education;native-country;workclass;occupation;salary-class
Male;20-39;White;Never-married;Higher education;North America;Government;Other;<=50K
Male;40-59;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;<=50K
Male;20-39;White;Divorced;Secondary education;North America;Non-Government;Nontechnical;<=50K
Male;40-59;Black;Married-civ-spouse;Secondary education;North America;Non-Government;Nontechnical;<=50K
*;*;*;*;*;*;*;*;*
Female;20-39;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;<=50K
*;*;*;*;*;*;*;*;*
Male;40-59;White;Married-civ-spouse;Secondary education;North America;Non-Government;Nontechnical;>50K
Female;20-39;White;Never-married;Higher education;North America;Non-Government;Technical;>50K
Male;40-59;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;>50K
Male;20-39;Black;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;>50K
*;*;*;*;*;*;*;*;*
Female;20-39;White;Never-married;Higher education;North America;Non-Government;Other;<=50K
Male;20-39;Black;Never-married;Higher education;North America;Non-Government;Nontechnical;<=50K
Male;20-39;Amer-Indian-Eskimo;Married-civ-spouse;Secondary education;North America;Non-Government;Other;<=50K
Male;20-39;White;Never-married;Secondary education;North America;Non-Government;Other;<=50K
Male;20-39;White;Never-married;Secondary education;North America;Non-Government;Technical;<=50K
Male;20-39;White;Married-civ-spouse;Secondary education;North America;Non-Government;Nontechnical;<=50K
Female;40-59;White;Divorced;Higher education;North America;Non-Government;Nontechnical;>50K
Male;20-39;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;>50K
Female;40-59;Black;Separated;Secondary education;North America;Non-Government;Other;<=50K
Male;20-39;Black;Married-civ-spouse;Secondary education;North America;Government;Other;<=50K
Male;40-59;White;Married-civ-spouse;Secondary education;North America;Non-Government;Other;<=50K
Female;40-59;White;Divorced;Secondary education;North America;Non-Government;Technical;<=50K
Male;40-59;White;Married-civ-spouse;Higher education;North America;Government;Technical;>50K
Male;0-19;White;Never-married;Secondary education;North America;Non-Government;Technical;<=50K
Male;20-39;White;Divorced;Secondary education;North America;Non-Government;Nontechnical;<=50K
Male;40-59;White;Married-civ-spouse;Secondary education;North America;Non-Government;Technical;<=50K
Male;20-39;White;Never-married;Higher education;North America;Government;Other;<=50K
Male;0-19;Black;Never-married;Higher education;North America;Non-Government;Nontechnical;<=50K
Male;40-59;White;Divorced;Higher education;North America;Non-Government;Nontechnical;<=50K
Male;20-39;White;Married-civ-spouse;Higher education;North America;Government;Other;<=50K
Male;20-39;Black;Married-civ-spouse;Higher education;North America;Government;Other;<=50K
Male;40-59;White;Never-married;Secondary education;North America;Non-Government;Technical;<=50K
Male;20-39;White;Never-married;Higher education;North America;Non-Government;Technical;<=50K
*;*;*;*;*;*;*;*;*
Male;40-59;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;<=50K
Male;20-39;White;Married-civ-spouse;Secondary education;North America;Non-Government;Technical;<=50K
Male;40-59;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;<=50K
Male;20-39;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;<=50K
Female;40-59;White;Separated;Secondary education;North America;Non-Government;Other;<=50K
