sex;age;race;marital-status;education;native-country;workclass;occupation;salary-class
Male;20-39;White;Never-married;Bachelors;North America;Government;Other;<=50K
Male;40-59;White;Married-civ-spouse;Bachelors;North America;Non-Government;Nontechnical;<=50K
Male;20-39;White;Divorced;HS-grad;North America;Non-Government;Nontechnical;<=50K
Male;40-59;Black;Married-civ-spouse;11th;North America;Non-Government;Nontechnical;<=50K
*;*;*;*;Bachelors;*;*;*;*
Female;20-39;White;Married-civ-spouse;Masters;North America;Non-Government;Nontechnical;<=50K
*;*;*;*;9th;*;*;*;*
Male;40-59;White;Married-civ-spouse;HS-grad;North America;Non-Government;Nontechnical;>50K
Female;20-39;White;Never-married;Masters;North America;Non-Government;Technical;>50K
Male;40-59;White;Married-civ-spouse;Bachelors;North America;Non-Government;Nontechnical;>50K
Male;20-39;Black;Married-civ-spouse;Some-college;North America;Non-Government;Nontechnical;>50K
*;*;*;*;Bachelors;*;*;*;*
Female;20-39;White;Never-married;Bachelors;North America;Non-Government;Other;<=50K
Male;20-39;Black;Never-married;Assoc-acdm;North America;Non-Government;Nontechnical;<=50K
*;*;*;*;7th-8th;*;*;*;*
Male;20-39;White;Never-married;HS-grad;North America;Non-Government;Other;<=50K
Male;20-39;White;Never-married;HS-grad;North America;Non-Government;Technical;<=50K
Male;20-39;White;Married-civ-spouse;11th;North America;Non-Government;Nontechnical;<=50K
Female;40-59;White;Divorced;Masters;North America;Non-Government;Nontechnical;>50K
Male;20-39;White;Married-civ-spouse;Doctorate;North America;Non-Government;Technical;>50K
Female;40-59;Black;Separated;HS-grad;North America;Non-Government;Other;<=50K
Male;20-39;Black;Married-civ-spouse;9th;North America;Government;Other;<=50K
Male;40-59;White;Married-civ-spouse;11th;North America;Non-Government;Other;<=50K
Female;40-59;White;Divorced;HS-grad;North America;Non-Government;Technical;<=50K
Male;40-59;White;Married-civ-spouse;Bachelors;North America;Government;Technical;>50K
Male;0-19;White;Never-married;HS-grad;North America;Non-Government;Technical;<=50K
Male;20-39;White;Divorced;HS-grad;North America;Non-Government;Nontechnical;<=50K
