;alive;alive
1927-03-02;1927;[1920, 1930[
1933-12-29;1933;[1930, 1940[
1939-04-26;1939;[1930, 1940[
1940-01-01;1940;[1940, 1950[
1940-05-04;1940;[1940, 1950[
1940-06-23;1940;[1940, 1950[
1940-06-24;1940;[1940, 1950[
1940-11-07;1940;[1940, 1950[
1940-12-15;1940;[1940, 1950[
1940-12-18;1940;[1940, 1950[
1941-01-05;1941;[1940, 1950[
1941-02-11;1941;[1940, 1950[
1941-03-06;1941;[1940, 1950[
1941-03-28;1941;[1940, 1950[
1941-06-03;1941;[1940, 1950[
1941-07-20;1941;[1940, 1950[
1941-09-02;1941;[1940, 1950[
1941-09-11;1941;[1940, 1950[
1941-11-01;1941;[1940, 1950[
1941-12-12;1941;[1940, 1950[
1942-02-26;1942;[1940, 1950[
1942-03-21;1942;[1940, 1950[
1942-03-23;1942;[1940, 1950[
1942-04-20;1942;[1940, 1950[
1942-05-17;1942;[1940, 1950[
1942-06-17;1942;[1940, 1950[
1942-07-23;1942;[1940, 1950[
1942-08-08;1942;[1940, 1950[
1942-08-26;1942;[1940, 1950[
1942-09-15;1942;[1940, 1950[
1942-09-20;1942;[1940, 1950[
1942-10-12;1942;[1940, 1950[
1942-11-11;1942;[1940, 1950[
1942-12-03;1942;[1940, 1950[
1942-12-05;1942;[1940, 1950[
1942-12-31;1942;[1940, 1950[
1943-01-27;1943;[1940, 1950[
1943-02-01;1943;[1940, 1950[
1943-02-03;1943;[1940, 1950[
1943-02-05;1943;[1940, 1950[
1943-02-08;1943;[1940, 1950[
1943-03-06;1943;[1940, 1950[
1943-03-15;1943;[1940, 1950[
1943-04-06;1943;[1940, 1950[
1943-05-10;1943;[1940, 1950[
1943-05-17;1943;[1940, 1950[
1943-05-27;1943;[1940, 1950[
1943-05-30;1943;[1940, 1950[
1943-06-07;1943;[1940, 1950[
1943-06-12;1943;[1940, 1950[
1943-06-21;1943;[1940, 1950[
1943-06-28;1943;[1940, 1950[
1943-07-03;1943;[1940, 1950[
1943-07-07;1943;[1940, 1950[
1943-07-20;1943;[1940, 1950[
1943-09-07;1943;[1940, 1950[
1943-09-08;1943;[1940, 1950[
1943-09-18;1943;[1940, 1950[
1943-09-23;1943;[1940, 1950[
1943-10-10;1943;[1940, 1950[
1943-10-16;1943;[1940, 1950[
1943-10-26;1943;[1940, 1950[
1943-10-29;1943;[1940, 1950[
1943-11-05;1943;[1940, 1950[
1943-11-23;1943;[1940, 1950[
1943-11-24;1943;[1940, 1950[
1943-12-04;1943;[1940, 1950[
1943-12-07;1943;[1940, 1950[
1943-12-12;1943;[1940, 1950[
1944-01-17;1944;[1940, 1950[
1944-01-22;1944;[1940, 1950[
1944-01-30;1944;[1940, 1950[
1944-02-10;1944;[1940, 1950[
1944-02-16;1944;[1940, 1950[
1944-03-12;1944;[1940, 1950[
1944-03-31;1944;[1940, 1950[
1944-04-11;1944;[1940, 1950[
1944-05-07;1944;[1940, 1950[
1944-05-28;1944;[1940, 1950[
1944-06-12;1944;[1940, 1950[
1944-06-17;1944;[1940, 1950[
1944-07-03;1944;[1940, 1950[
1944-07-22;1944;[1940, 1950[
1944-08-14;1944;[1940, 1950[
1944-08-16;1944;[1940, 1950[
1944-08-27;1944;[1940, 1950[
1944-08-29;1944;[1940, 1950[
1944-09-05;1944;[1940, 1950[
1944-09-26;1944;[1940, 1950[
1944-10-10;1944;[1940, 1950[
1944-10-17;1944;[1940, 1950[
1944-12-06;1944;[1940, 1950[
1944-12-10;1944;[1940, 1950[
1944-12-16;1944;[1940, 1950[
1944-12-18;1944;[1940, 1950[
1945-01-06;1945;[1940, 1950[
1945-01-09;1945;[1940, 1950[
1945-01-11;1945;[1940, 1950[
1945-01-13;1945;[1940, 1950[
1945-01-19;1945;[1940, 1950[
1945-01-22;1945;[1940, 1950[
